Investment Amount,Risk Tolerance,ROI,Investment Duration
0.4649643450051236,0.4472436786703786,0.9103895235445837,0.30838080845187577
0.5710962658568964,0.9984410497184054,0.5003878745371173,0.3168177791769555
0.4415160158000077,0.5062659464887885,0.6232057456095297,0.3932821709950645
0.5384076940721919,0.569210271715605,0.7500400412503389,0.32842400108892483
0.22127706660924285,0.12195057044822594,1.0,0.468205206571262
0.6426587414745877,0.31509157758815676,1.0,0.5487246155335928
0.6002410950724448,0.3874410859028189,0.8213446118272365,0.3419946758629957
0.43658227378636183,0.4046854709731298,0.6633606762559224,0.42394045005353775
0.731849133686481,0.8844931385011305,0.80690112969611,0.4499685110302934
0.7875140275253116,0.6673073182175373,0.8775310851747672,0.44720022709192747
0.27848802712620513,0.1665626129188904,0.6358664748885616,0.40759552679160876
0.4474550442867571,0.5739514335296014,1.0,0.47426824183597227
0.4461715300425403,0.6494665245490355,0.7460141518382803,0.44822489526806575
0.412019379778227,0.8420447115563799,0.7995486178182788,0.2762337577672702
0.7658949683863496,0.9741622059705121,0.8331848504108923,0.48691560643892734
0.5612347722454393,0.1954717424516394,0.7843173221228911,0.48872908372667423
0.5470970317378778,0.25674274663689856,0.8677881000939224,0.32367138958214187
0.19922752711864927,0.12272664232561514,0.5765493626906153,0.4037937835447602
0.7270836060418453,0.4297940422679056,0.5883396492107938,0.468332899281107
0.3521483210293055,0.6399075123339003,0.47996915340566093,0.3790686180420639
0.6119865260532656,0.7962003549767305,0.7879002461240452,0.5072978047766012
0.6554753875916384,0.47721469290724317,0.8557873007024228,0.6363872494619361
0.8721317191677302,0.4040457430235468,0.7915545732303771,0.3214013967365018
0.33823592017617754,0.5455273976746221,1.0,0.26189553968462254
0.0,0.24945712951099308,0.6988807962341906,0.4303818595604876
0.6367699089507389,1.0,0.8337483311185026,0.4721562505126144
0.9601022363021707,0.017701691864582425,0.4816598247721371,0.3769133626155231
0.8477892705878874,0.5554221736687174,0.6225800595051197,0.5453260663321035
0.6419318830549251,1.0,0.8391075515131554,0.2661394200276751
0.5016727628735905,0.5020399533679993,0.8698204221486288,0.4692918623031611
0.761424519327462,0.44298828949955166,0.6412066104671635,0.3394139179241107
0.40529076005910625,0.39276637315687185,0.6856801496283866,0.5719377906207297
0.6952715538712438,0.4458824954712777,0.39642525066383805,0.5992515353168119
0.7010940318333254,0.911854542402959,0.6285941598386781,0.3233343412216652
0.8120419814997759,0.0,0.8780766327039572,0.345044286409142
1.0,0.9600301103888976,0.8150410032213132,0.4859587886979802
0.6784831934357534,0.07281285426495648,0.8001331442762419,0.3612869350210486
0.49820727485850025,0.4200043012296756,0.709954737436192,0.3954588782067762
